id;nom;adresse;contact;email;numero_matriculation
1;grid-enabled;Yémen state;web-enabled virtual;Aurelle36@yahoo.fr;Dram Beauty
2;a;Administrateur Handcrafted;mindshare;Jude_Cousin@yahoo.fr;workforce
3;program;parse;la;Maurice.Jean46@hotmail.fr;visualize
4;channels;a Adaptive auxiliary;Centre Laffitte;Hector77@gmail.com;Chair copying
5;Metical synergies;back-end Credit;Saint-Séverin;Archambaud18@yahoo.fr;b Electronics
6;one-to-one;compressing Computer Tuna;Limousin architectures;Vital44@yahoo.fr;PCI
7;Rustic;Toys;human-resource array synthesizing;Rene.Moreau@yahoo.fr;index Loan
8;compressing Open-architected bandwidth-monitored;Basse-Normandie;Malawi;Scholastique_Roux37@hotmail.fr;Cotton executive
9;integrated Guyane;Programmable Stagiaire;Bedfordshire;Athina.Giraud@gmail.com;synergistic turquoise Fresh
10;Soap Frozen;Account lime Berkshire;communities Synchronised microchip;Armand_Morel80@yahoo.fr;a Plastic Cheese
